cycle: 36; nbPreys: 45; minEnergyPreys: 0.014460784313725134; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 37; nbPreys: 42; minEnergyPreys: 0.012499999999999567; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.01999999999999991; maxSizePredators: 1.0
cycle: 38; nbPreys: 37; minEnergyPreys: 0.184313725490196; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.3599999999999999; maxSizePredators: 1.0
cycle: 39; nbPreys: 34; minEnergyPreys: 0.1696078431372548; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.33999999999999986; maxSizePredators: 1.0
cycle: 40; nbPreys: 30; minEnergyPreys: 0.1558823529411763; maxSizePreys: 1.0; nbPredators: 39; minEnergyPredators: 0.31999999999999984; maxSizePredators: 1.0
cycle: 41; nbPreys: 31; minEnergyPreys: 0.1431372549019606; maxSizePreys: 1.0; nbPredators: 44; minEnergyPredators: 0.2999999999999998; maxSizePredators: 1.0
cycle: 42; nbPreys: 28; minEnergyPreys: 0.1333333333333331; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.2799999999999998; maxSizePredators: 1.0
cycle: 43; nbPreys: 24; minEnergyPreys: 0.18333333333333313; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.2599999999999998; maxSizePredators: 1.0
cycle: 44; nbPreys: 23; minEnergyPreys: 0.23333333333333314; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.2399999999999998; maxSizePredators: 1.0
cycle: 45; nbPreys: 23; minEnergyPreys: 0.23529411764705865; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.2199999999999998; maxSizePredators: 0.98
cycle: 46; nbPreys: 22; minEnergyPreys: 0.2284313725490194; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.19999999999999982; maxSizePredators: 1.0
cycle: 47; nbPreys: 27; minEnergyPreys: 0.2; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.17999999999999983; maxSizePredators: 0.98
cycle: 48; nbPreys: 23; minEnergyPreys: 0.19411764705882345; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 49; nbPreys: 20; minEnergyPreys: 0.19117647058823517; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 50; nbPreys: 18; minEnergyPreys: 0.1882352941176469; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 51; nbPreys: 20; minEnergyPreys: 0.1852941176470586; maxSizePreys: 1.0; nbPredators: 47; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 52; nbPreys: 18; minEnergyPreys: 0.18333333333333304; maxSizePreys: 1.0; nbPredators: 50; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 53; nbPreys: 15; minEnergyPreys: 0.22882352941176454; maxSizePreys: 1.0; nbPredators: 50; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 54; nbPreys: 13; minEnergyPreys: 0.236274509803921; maxSizePreys: 1.0; nbPredators: 50; minEnergyPredators: 0.03999999999999983; maxSizePredators: 1.0
cycle: 55; nbPreys: 10; minEnergyPreys: 0.3288235294117646; maxSizePreys: 1.0; nbPredators: 50; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
